filename,label
Train259.csv,Normal
Train260.csv,Normal
Train261.csv,Normal
Train262.csv,Normal
Train263.csv,Normal
Train264.csv,Normal
Train265.csv,Side II
Train266.csv,Normal
Train267.csv,Side II
Train268.csv,Normal
Train269.csv,Normal
Train270.csv,Normal
Train271.csv,Normal
Train272.csv,Normal
