segment_id,start_time,end_time,operation,status,n_rows
train_seg_051,2023-7-5-0-32-43-694,2023-7-5-0-32-47-374,Close,Normal,185
train_seg_052,2023-7-5-0-33-29-832,2023-7-5-0-33-33-552,Close,Abnormal resistance,187
train_seg_053,2023-7-5-0-34-11-718,2023-7-5-0-34-15-418,Close,Normal,186
train_seg_054,2023-7-5-0-34-44-96,2023-7-5-0-34-47-796,Close,Normal,186
train_seg_055,2023-7-5-0-35-1-654,2023-7-5-0-35-4-394,Open,Abnormal resistance,138
train_seg_056,2023-7-5-0-35-40-152,2023-7-5-0-35-43-932,Close,Normal,190
train_seg_057,2023-7-5-0-36-41-950,2023-7-5-0-36-45-630,Close,Normal,185
train_seg_058,2023-7-5-0-37-13-423,2023-7-5-0-37-17-143,Close,Abnormal resistance,187
train_seg_059,2023-7-5-0-37-39-851,2023-7-5-0-37-43-551,Close,Normal,186
train_seg_060,2023-7-5-0-38-15-897,2023-7-5-0-38-19-597,Close,Normal,186
train_seg_061,2023-7-5-0-39-11-422,2023-7-5-0-39-15-122,Close,Normal,186
train_seg_062,2023-7-5-0-39-40-660,2023-7-5-0-39-44-400,Close,Abnormal resistance,188
train_seg_063,2023-7-5-0-40-22-964,2023-7-5-0-40-25-764,Open,Abnormal resistance,141
train_seg_064,2023-7-5-0-41-6-213,2023-7-5-0-41-8-993,Open,Normal,140
train_seg_065,2023-7-5-0-41-59-719,2023-7-5-0-42-2-539,Open,Normal,142
train_seg_066,2023-7-5-0-42-42-84,2023-7-5-0-42-44-964,Open,Abnormal resistance,145
train_seg_067,2023-7-5-0-43-27-797,2023-7-5-0-43-30-637,Open,Normal,143
train_seg_068,2023-7-5-0-44-14-353,2023-7-5-0-44-17-133,Open,Normal,140
train_seg_069,2023-7-5-0-45-5-208,2023-7-5-0-45-8-928,Close,Abnormal resistance,187
train_seg_070,2023-7-5-0-45-39-906,2023-7-5-0-45-42-726,Open,Normal,142
train_seg_071,2023-7-5-0-46-11-961,2023-7-5-0-46-15-661,Close,Normal,186
train_seg_072,2023-7-5-0-46-55-304,2023-7-5-0-46-58-64,Open,Normal,139
train_seg_073,2023-7-5-0-47-26-875,2023-7-5-0-47-29-695,Open,Normal,142
train_seg_074,2023-7-5-0-47-46-274,2023-7-5-0-47-49-974,Close,Normal,186
train_seg_075,2023-7-5-0-48-25-883,2023-7-5-0-48-29-583,Close,Abnormal resistance,186
train_seg_076,2023-7-5-0-49-0-735,2023-7-5-0-49-4-415,Close,Normal,185
train_seg_077,2023-7-5-0-49-41-413,2023-7-5-0-49-44-253,Open,Normal,143
train_seg_078,2023-7-5-0-50-34-415,2023-7-5-0-50-37-255,Open,Abnormal resistance,143
train_seg_079,2023-7-5-0-51-23-833,2023-7-5-0-51-26-653,Open,Normal,142
train_seg_080,2023-7-5-0-51-54-106,2023-7-5-0-51-57-786,Close,Normal,185
train_seg_081,2023-7-5-0-52-32-643,2023-7-5-0-52-35-423,Open,Abnormal resistance,140
train_seg_082,2023-7-5-0-53-1-0,2023-7-5-0-53-4-740,Close,Abnormal resistance,188
train_seg_083,2023-7-5-0-53-43-39,2023-7-5-0-53-46-799,Close,Normal,189
train_seg_084,2023-7-5-0-54-11-580,2023-7-5-0-54-15-280,Close,Normal,186
train_seg_085,2023-7-5-0-54-41-12,2023-7-5-0-54-44-712,Close,Abnormal resistance,186
train_seg_086,2023-7-5-0-55-30-889,2023-7-5-0-55-34-569,Close,Normal,185
train_seg_087,2023-7-5-0-55-57-621,2023-7-5-0-56-1-301,Close,Normal,185
train_seg_088,2023-7-5-0-56-13-678,2023-7-5-0-56-17-338,Close,Normal,184
train_seg_089,2023-7-5-0-57-11-286,2023-7-5-0-57-14-966,Close,Normal,185
train_seg_090,2023-7-5-0-58-9-390,2023-7-5-0-58-12-170,Open,Normal,140
train_seg_091,2023-7-5-0-58-30-718,2023-7-5-0-58-33-578,Open,Abnormal resistance,144
train_seg_092,2023-7-5-0-59-25-225,2023-7-5-0-59-28-765,Close,Normal,178
train_seg_093,2023-7-5-0-59-39-474,2023-7-5-0-59-43-174,Close,Abnormal resistance,186
train_seg_094,2023-7-5-0-59-59-103,2023-7-5-1-0-2-803,Close,Abnormal resistance,186
train_seg_095,2023-7-5-1-0-38-370,2023-7-5-1-0-41-230,Open,Normal,144
train_seg_096,2023-7-5-1-1-23-954,2023-7-5-1-1-27-654,Close,Normal,186
train_seg_097,2023-7-5-1-2-22-708,2023-7-5-1-2-25-548,Open,Normal,143
train_seg_098,2023-7-5-1-2-43-288,2023-7-5-1-2-46-88,Open,Normal,141
train_seg_099,2023-7-5-1-3-24-258,2023-7-5-1-3-27-958,Close,Normal,186
train_seg_100,2023-7-5-1-3-56-956,2023-7-5-1-3-59-736,Open,Abnormal resistance,140
train_seg_101,2023-7-5-1-4-53-782,2023-7-5-1-4-56-702,Open,Abnormal resistance,147
train_seg_102,2023-7-5-1-5-8-346,2023-7-5-1-5-12-26,Close,Normal,185
train_seg_103,2023-7-5-1-5-27-849,2023-7-5-1-5-30-689,Open,Normal,143
train_seg_104,2023-7-5-1-5-49-428,2023-7-5-1-5-53-108,Close,Normal,185
train_seg_105,2023-7-5-1-6-35-532,2023-7-5-1-6-38-352,Open,Normal,142
train_seg_106,2023-7-5-1-6-57-185,2023-7-5-1-7-0-785,Close,Normal,181
train_seg_107,2023-7-5-1-7-23-681,2023-7-5-1-7-26-521,Open,Normal,143
train_seg_108,2023-7-5-1-8-24-815,2023-7-5-1-8-27-635,Open,Abnormal resistance,142
train_seg_109,2023-7-5-1-9-25-783,2023-7-5-1-9-29-483,Close,Normal,186
train_seg_110,2023-7-5-1-10-13-392,2023-7-5-1-10-17-112,Close,Abnormal resistance,187
