Datetime,Motor current(mA),Motor Voltage(10mV),Motor electrodynamic force,Door opening time(.1s),Door closing time(.1s),Close command,Open command,DCSR,DCSL,DLSR,DLSL,Door Opened,Door Locked,Door is opening,Door is closing,Door leaf position
2023-7-5-0-0-0-960,256,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,494
2023-7-5-0-0-0-980,253,5400,1323,24,35,1,0,0,0,0,0,0,0,0,1,488
2023-7-5-0-0-1-0,259,5400,1313,24,35,1,0,0,0,0,0,0,0,0,1,483
2023-7-5-0-0-1-20,267,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,477
2023-7-5-0-0-1-40,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,472
2023-7-5-0-0-1-60,262,5400,1317,24,35,1,0,0,0,0,0,0,0,0,1,466
2023-7-5-0-0-1-80,273,5400,1311,24,35,1,0,0,0,0,0,0,0,0,1,460
2023-7-5-0-0-1-100,273,5500,1319,24,35,1,0,0,0,0,0,0,0,0,1,455
2023-7-5-0-0-1-120,259,5400,1325,24,35,1,0,0,0,0,0,0,0,0,1,449
2023-7-5-0-0-1-140,265,5400,1317,24,35,1,0,0,0,0,0,0,0,0,1,444
2023-7-5-0-0-1-160,267,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,438
2023-7-5-0-0-1-180,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,432
2023-7-5-0-0-1-200,270,5400,1315,24,35,1,0,0,0,0,0,0,0,0,1,427
2023-7-5-0-0-1-220,273,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,421
2023-7-5-0-0-1-240,273,5500,1323,24,35,1,0,0,0,0,0,0,0,0,1,416
2023-7-5-0-0-1-260,262,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,410
2023-7-5-0-0-1-280,267,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,405
2023-7-5-0-0-1-300,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,399
2023-7-5-0-0-1-320,262,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,393
2023-7-5-0-0-1-340,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,388
2023-7-5-0-0-1-360,267,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,382
2023-7-5-0-0-1-380,270,5500,1319,24,35,1,0,0,0,0,0,0,0,0,1,377
2023-7-5-0-0-1-400,262,5400,1325,24,35,1,0,0,0,0,0,0,0,0,1,371
2023-7-5-0-0-1-420,259,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,365
2023-7-5-0-0-1-440,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,360
2023-7-5-0-0-1-460,259,5400,1325,24,35,1,0,0,0,0,0,0,0,0,1,354
2023-7-5-0-0-1-480,253,5400,1323,24,35,1,0,0,0,0,0,0,0,0,1,349
2023-7-5-0-0-1-500,259,5400,1317,24,35,1,0,0,0,0,0,0,0,0,1,343
2023-7-5-0-0-1-520,256,5400,1331,24,35,1,0,0,0,0,0,0,0,0,1,337
2023-7-5-0-0-1-540,247,5400,1327,24,35,1,0,0,0,0,0,0,0,0,1,332
2023-7-5-0-0-1-560,256,5400,1323,24,35,1,0,0,0,0,0,0,0,0,1,326
2023-7-5-0-0-1-580,259,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,321
2023-7-5-0-0-1-600,250,5400,1327,24,35,1,0,0,0,0,0,0,0,0,1,315
2023-7-5-0-0-1-620,256,5400,1323,24,35,1,0,0,0,0,0,0,0,0,1,309
2023-7-5-0-0-1-640,265,5400,1321,24,35,1,0,0,0,0,0,0,0,0,1,304
2023-7-5-0-0-1-660,256,5400,1331,24,35,1,0,0,0,0,0,0,0,0,1,298
2023-7-5-0-0-1-680,247,5400,1323,24,35,1,0,0,0,0,0,0,0,0,1,293
2023-7-5-0-0-1-700,253,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,287
2023-7-5-0-0-1-720,250,5400,1319,24,35,1,0,0,0,0,0,0,0,0,1,281
2023-7-5-0-0-1-740,244,5400,1325,24,35,1,0,0,0,0,0,0,0,0,1,276
2023-7-5-0-0-1-760,241,5400,1313,24,35,1,0,0,0,0,0,0,0,0,1,270
2023-7-5-0-0-1-780,244,5300,1309,24,35,1,0,0,0,0,0,0,0,0,1,265
2023-7-5-0-0-1-800,232,5400,1320,24,35,1,0,0,0,0,0,0,0,0,1,259
2023-7-5-0-0-1-820,223,5300,1304,24,35,1,0,0,0,0,0,0,0,0,1,254
2023-7-5-0-0-1-840,229,5300,1300,24,35,1,0,0,0,0,0,0,0,0,1,248
2023-7-5-0-0-1-860,223,5300,1292,24,35,1,0,0,0,0,0,0,0,0,1,243
2023-7-5-0-0-1-880,209,5200,1300,24,35,1,0,0,0,0,0,0,0,0,1,237
2023-7-5-0-0-1-900,203,5200,1280,24,35,1,0,0,0,0,0,0,0,0,1,232
2023-7-5-0-0-1-920,200,5100,1272,24,35,1,0,0,0,0,0,0,0,0,1,226
2023-7-5-0-0-1-940,188,5100,1262,24,35,1,0,0,0,0,0,0,0,0,1,221
2023-7-5-0-0-1-960,176,5000,1248,24,35,1,0,0,0,0,0,0,0,0,1,215
2023-7-5-0-0-1-980,165,4900,1238,24,35,1,0,0,0,0,0,0,0,0,1,210
2023-7-5-0-0-2-0,150,4900,1231,24,35,1,0,0,0,0,0,0,0,0,1,205
2023-7-5-0-0-2-20,132,4800,1213,24,35,1,0,0,0,0,0,0,0,0,1,200
2023-7-5-0-0-2-40,115,4600,1193,24,35,1,0,0,0,0,0,0,0,0,1,195
2023-7-5-0-0-2-60,97,4600,1175,24,35,1,0,0,0,0,0,0,0,0,1,190
2023-7-5-0-0-2-80,79,4500,1164,24,35,1,0,0,0,0,0,0,0,0,1,185
2023-7-5-0-0-2-100,65,4300,1138,24,35,1,0,0,0,0,0,0,0,0,1,180
2023-7-5-0-0-2-120,53,4200,1116,24,35,1,0,0,0,0,0,0,0,0,1,175
2023-7-5-0-0-2-140,41,4100,1086,24,35,1,0,0,0,0,0,0,0,0,1,170
2023-7-5-0-0-2-160,29,4000,1052,24,35,1,0,0,0,0,0,0,0,0,1,165
2023-7-5-0-0-2-180,15,3800,1018,24,35,1,0,0,0,0,0,0,0,0,1,161
2023-7-5-0-0-2-200,6,3700,1004,24,35,1,0,0,0,0,0,0,0,0,1,157
2023-7-5-0-0-2-220,0,3600,968,24,35,1,0,0,0,0,0,0,0,0,1,152
2023-7-5-0-0-2-240,0,3500,940,24,35,1,0,0,0,0,0,0,0,0,1,148
2023-7-5-0-0-2-260,0,3300,900,24,35,1,0,0,0,0,0,0,0,0,1,144
2023-7-5-0-0-2-280,0,3200,876,24,35,1,0,0,0,0,0,0,0,0,1,140
2023-7-5-0-0-2-300,0,3100,848,24,35,1,0,0,0,0,0,0,0,0,1,137
2023-7-5-0-0-2-320,0,3100,824,24,35,1,0,0,0,0,0,0,0,0,1,133
2023-7-5-0-0-2-340,0,2900,780,24,35,1,0,0,0,0,0,0,0,0,1,129
2023-7-5-0-0-2-360,0,2800,744,24,35,1,0,0,0,0,0,0,0,0,1,126
2023-7-5-0-0-2-380,0,2700,724,24,35,1,0,0,0,0,0,0,0,0,1,123
2023-7-5-0-0-2-400,0,2600,704,24,35,1,0,0,0,0,0,0,0,0,1,120
2023-7-5-0-0-2-420,0,2500,672,24,35,1,0,0,0,0,0,0,0,0,1,117
2023-7-5-0-0-2-440,0,2400,640,24,35,1,0,0,0,0,0,0,0,0,1,114
2023-7-5-0-0-2-460,0,2200,608,24,35,1,0,0,0,0,0,0,0,0,1,111
2023-7-5-0-0-2-480,0,2100,580,24,35,1,0,0,0,0,0,0,0,0,1,109
2023-7-5-0-0-2-500,9,2000,556,24,35,1,0,0,0,0,0,0,0,0,1,106
2023-7-5-0-0-2-520,26,2000,532,24,35,1,0,0,0,0,0,0,0,0,1,104
2023-7-5-0-0-2-540,50,2000,512,24,35,1,0,0,0,0,0,0,0,0,1,102
2023-7-5-0-0-2-560,76,2000,500,24,35,1,0,0,0,0,0,0,0,0,1,99
2023-7-5-0-0-2-580,109,2000,485,24,35,1,0,0,0,0,0,0,0,0,1,97
2023-7-5-0-0-2-600,135,2000,489,24,35,1,0,0,0,0,0,0,0,0,1,95
2023-7-5-0-0-2-620,165,2100,474,24,35,1,0,0,0,0,0,0,0,0,1,93
2023-7-5-0-0-2-640,226,2100,460,24,35,1,0,0,0,0,0,0,0,0,1,91
2023-7-5-0-0-2-660,291,2300,465,24,35,1,0,0,0,0,0,0,0,0,1,89
2023-7-5-0-0-2-680,323,2400,474,24,35,1,0,0,0,0,0,0,0,0,1,87
2023-7-5-0-0-2-700,338,2400,484,24,35,1,0,0,0,0,0,0,0,0,1,85
2023-7-5-0-0-2-720,359,2500,480,24,35,1,0,0,0,0,0,0,0,0,1,83
2023-7-5-0-0-2-740,394,2500,485,24,35,1,0,0,0,0,0,0,0,0,1,81
2023-7-5-0-0-2-760,388,2600,493,24,35,1,0,0,0,0,0,0,0,0,1,79
2023-7-5-0-0-2-780,373,2600,510,24,35,1,0,0,0,0,0,0,0,0,1,77
2023-7-5-0-0-2-800,353,2600,512,24,35,1,0,0,0,0,0,0,0,0,1,75
2023-7-5-0-0-2-820,356,2600,512,24,35,1,0,0,0,0,0,0,0,0,1,73
2023-7-5-0-0-2-840,347,2600,526,24,35,1,0,0,0,0,0,0,0,0,1,71
2023-7-5-0-0-2-860,320,2600,534,24,35,1,0,0,0,0,0,0,0,0,1,68
2023-7-5-0-0-2-880,294,2600,543,24,35,1,0,0,0,0,0,0,0,0,1,66
2023-7-5-0-0-2-900,262,2500,553,24,35,1,0,0,0,0,0,0,0,0,1,64
2023-7-5-0-0-2-920,238,2500,557,24,35,1,0,0,0,0,0,0,0,0,1,61
2023-7-5-0-0-2-940,226,2500,552,24,35,1,0,0,0,0,0,0,0,0,1,59
2023-7-5-0-0-2-960,226,2500,552,24,35,1,0,0,0,0,0,0,0,0,1,57
2023-7-5-0-0-2-980,232,2400,548,24,35,1,0,0,0,0,0,0,0,0,1,54
2023-7-5-0-0-3-0,247,2500,535,24,35,1,0,0,0,0,0,0,0,0,1,52
2023-7-5-0-0-3-20,265,2500,537,24,35,1,0,0,0,0,0,0,0,0,1,50
2023-7-5-0-0-3-40,279,2500,535,24,35,1,0,0,0,0,0,0,0,0,1,48
2023-7-5-0-0-3-60,285,2500,537,24,35,1,0,0,0,0,0,0,0,0,1,45
2023-7-5-0-0-3-80,291,2500,541,24,35,1,0,0,0,0,0,0,0,0,1,43
2023-7-5-0-0-3-100,291,2500,537,24,35,1,0,0,0,0,0,0,0,0,1,41
2023-7-5-0-0-3-120,297,2600,539,24,35,1,0,0,0,0,0,0,0,0,1,39
2023-7-5-0-0-3-140,303,2600,539,24,35,1,0,0,0,0,0,0,0,0,1,36
2023-7-5-0-0-3-160,309,2600,540,24,35,1,0,0,0,0,0,0,0,0,1,34
2023-7-5-0-0-3-180,309,2600,540,24,35,1,0,0,0,0,0,0,0,0,1,32
2023-7-5-0-0-3-200,309,2600,544,24,35,1,0,0,0,0,0,0,0,0,1,29
2023-7-5-0-0-3-220,320,2600,538,24,35,1,0,0,0,0,0,0,0,0,1,27
2023-7-5-0-0-3-240,323,2600,542,24,35,1,0,0,0,0,0,0,0,0,1,25
2023-7-5-0-0-3-260,320,2600,546,24,35,1,0,0,0,0,0,0,0,0,1,23
2023-7-5-0-0-3-280,315,2600,552,24,35,1,0,0,0,0,0,0,0,0,1,20
2023-7-5-0-0-3-300,303,2600,555,24,35,1,0,0,0,0,0,0,0,0,1,18
2023-7-5-0-0-3-320,291,2600,557,24,35,1,0,0,0,0,0,0,0,0,1,16
2023-7-5-0-0-3-340,294,2600,543,24,35,1,0,0,0,0,0,0,0,0,1,13
2023-7-5-0-0-3-360,362,2600,512,24,35,1,0,0,1,0,0,0,0,0,1,11
2023-7-5-0-0-3-380,708,2800,399,24,35,1,0,1,1,0,0,0,0,0,1,9
2023-7-5-0-0-3-400,1252,3600,320,24,35,1,0,1,1,0,0,0,0,0,1,7
2023-7-5-0-0-3-420,1717,4500,322,24,35,1,0,1,1,0,0,0,0,0,1,5
2023-7-5-0-0-3-440,1555,4900,500,24,35,1,0,1,1,0,0,0,0,0,1,4
2023-7-5-0-0-3-460,1902,4800,309,24,35,1,0,1,1,0,0,0,0,0,1,2
2023-7-5-0-0-3-480,2208,5200,237,24,35,1,0,1,1,0,0,0,0,0,1,1
2023-7-5-0-0-3-500,2081,4300,79,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-520,1964,4000,56,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-540,1966,4000,44,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-560,1984,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-580,1987,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-600,1999,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-620,2002,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-640,2002,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-660,2005,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-680,2005,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-3-700,2005,3900,0,24,35,1,0,1,1,1,1,0,0,0,1,0
2023-7-5-0-0-23-999,112,300,32,23,35,0,1,1,1,1,1,0,0,1,0,0
2023-7-5-0-0-24-19,215,500,35,23,35,0,1,1,1,1,1,0,0,1,0,0
2023-7-5-0-0-24-39,335,800,40,23,35,0,1,1,1,1,1,0,0,1,0,0
2023-7-5-0-0-24-59,467,1100,50,23,35,0,1,1,1,1,1,0,0,1,0,0
2023-7-5-0-0-24-79,611,1400,56,23,35,0,1,1,1,1,1,0,0,1,0,1
2023-7-5-0-0-24-99,750,1800,83,23,35,0,1,1,1,1,1,0,0,1,0,1
2023-7-5-0-0-24-119,829,2100,127,23,35,0,1,1,1,1,1,0,0,1,0,1
2023-7-5-0-0-24-139,870,2400,181,23,35,0,1,1,1,1,1,0,0,1,0,2
2023-7-5-0-0-24-159,850,2700,274,23,35,0,1,1,1,1,1,0,0,1,0,2
2023-7-5-0-0-24-179,564,3000,493,23,35,0,1,1,1,1,1,0,0,1,0,3
2023-7-5-0-0-24-199,417,2800,528,23,35,0,1,1,1,1,1,0,0,1,0,5
2023-7-5-0-0-24-219,576,3000,495,23,35,0,1,1,1,0,0,0,0,1,0,7
2023-7-5-0-0-24-239,761,3600,564,23,35,0,1,1,1,0,0,0,0,1,0,9
2023-7-5-0-0-24-259,885,4200,643,23,35,0,1,1,1,0,0,0,0,1,0,12
2023-7-5-0-0-24-279,1143,4900,696,23,35,0,1,1,1,0,0,0,0,1,0,14
2023-7-5-0-0-24-299,1405,5700,789,23,35,0,1,1,1,0,0,0,0,1,0,17
2023-7-5-0-0-24-319,1581,6500,903,23,35,0,1,1,1,0,0,0,0,1,0,20
2023-7-5-0-0-24-339,1708,7200,1021,23,35,0,1,1,1,0,0,0,0,1,0,24
2023-7-5-0-0-24-359,1767,7800,1150,23,35,0,1,0,0,0,0,0,0,1,0,28
2023-7-5-0-0-24-379,1755,8300,1288,23,35,0,1,0,0,0,0,0,0,1,0,33
2023-7-5-0-0-24-399,1661,8700,1430,23,35,0,1,0,0,0,0,0,0,1,0,38
2023-7-5-0-0-24-419,1534,8900,1556,23,35,0,1,0,0,0,0,0,0,1,0,44
2023-7-5-0-0-24-439,1393,9000,1672,23,35,0,1,0,0,0,0,0,0,1,0,50
2023-7-5-0-0-24-459,1229,9100,1776,23,35,0,1,0,0,0,0,0,0,1,0,57
2023-7-5-0-0-24-479,1073,9100,1854,23,35,0,1,0,0,0,0,0,0,1,0,64
2023-7-5-0-0-24-499,935,9100,1930,23,35,0,1,0,0,0,0,0,0,1,0,72
2023-7-5-0-0-24-519,814,9100,1989,23,35,0,1,0,0,0,0,0,0,1,0,80
2023-7-5-0-0-24-539,694,9000,2044,23,35,0,1,0,0,0,0,0,0,1,0,88
2023-7-5-0-0-24-559,591,9000,2089,23,35,0,1,0,0,0,0,0,0,1,0,96
2023-7-5-0-0-24-579,532,8900,2108,23,35,0,1,0,0,0,0,0,0,1,0,105
2023-7-5-0-0-24-599,482,9000,2138,23,35,0,1,0,0,0,0,0,0,1,0,114
2023-7-5-0-0-24-619,417,8900,2172,23,35,0,1,0,0,0,0,0,0,1,0,123
2023-7-5-0-0-24-639,388,8900,2164,23,35,0,1,0,0,0,0,0,0,1,0,132
2023-7-5-0-0-24-659,394,8900,2176,23,35,0,1,0,0,0,0,0,0,1,0,141
2023-7-5-0-0-24-679,382,9000,2194,23,35,0,1,0,0,0,0,0,0,1,0,150
2023-7-5-0-0-24-699,359,9000,2203,23,35,0,1,0,0,0,0,0,0,1,0,159
2023-7-5-0-0-24-719,341,8900,2209,23,35,0,1,0,0,0,0,0,0,1,0,168
2023-7-5-0-0-24-739,347,9000,2209,23,35,0,1,0,0,0,0,0,0,1,0,177
2023-7-5-0-0-24-759,367,9000,2205,23,35,0,1,0,0,0,0,0,0,1,0,186
2023-7-5-0-0-24-779,359,9000,2223,23,35,0,1,0,0,0,0,0,0,1,0,195
2023-7-5-0-0-24-799,341,9000,2225,23,35,0,1,0,0,0,0,0,0,1,0,205
2023-7-5-0-0-24-819,332,9000,2228,23,35,0,1,0,0,0,0,0,0,1,0,214
2023-7-5-0-0-24-839,323,9000,2238,23,35,0,1,0,0,0,0,0,0,1,0,223
2023-7-5-0-0-24-859,320,9000,2234,23,35,0,1,0,0,0,0,0,0,1,0,232
2023-7-5-0-0-24-879,326,9000,2238,23,35,0,1,0,0,0,0,0,0,1,0,242
2023-7-5-0-0-24-899,315,9000,2248,23,35,0,1,0,0,0,0,0,0,1,0,251
2023-7-5-0-0-24-919,303,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,260
2023-7-5-0-0-24-939,291,9000,2249,23,35,0,1,0,0,0,0,0,0,1,0,270
2023-7-5-0-0-24-959,288,9000,2249,23,35,0,1,0,0,0,0,0,0,1,0,279
2023-7-5-0-0-24-979,288,9000,2245,23,35,0,1,0,0,0,0,0,0,1,0,288
2023-7-5-0-0-24-999,297,9000,2243,23,35,0,1,0,0,0,0,0,0,1,0,298
2023-7-5-0-0-25-19,306,9000,2240,23,35,0,1,0,0,0,0,0,0,1,0,307
2023-7-5-0-0-25-39,303,9000,2255,23,35,0,1,0,0,0,0,0,0,1,0,316
2023-7-5-0-0-25-59,291,9000,2257,23,35,0,1,0,0,0,0,0,0,1,0,326
2023-7-5-0-0-25-79,285,9000,2249,23,35,0,1,0,0,0,0,0,0,1,0,335
2023-7-5-0-0-25-99,294,9000,2247,23,35,0,1,0,0,0,0,0,0,1,0,344
2023-7-5-0-0-25-119,303,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,354
2023-7-5-0-0-25-139,303,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,363
2023-7-5-0-0-25-159,303,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,372
2023-7-5-0-0-25-179,294,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,382
2023-7-5-0-0-25-199,288,9000,2261,23,35,0,1,0,0,0,0,0,0,1,0,391
2023-7-5-0-0-25-219,279,9000,2259,23,35,0,1,0,0,0,0,0,0,1,0,400
2023-7-5-0-0-25-239,276,9000,2251,23,35,0,1,0,0,0,0,0,0,1,0,410
2023-7-5-0-0-25-259,282,9000,2241,23,35,0,1,0,0,0,0,0,0,1,0,419
2023-7-5-0-0-25-279,291,9000,2245,23,35,0,1,0,0,0,0,0,0,1,0,428
2023-7-5-0-0-25-299,291,9000,2241,23,35,0,1,0,0,0,0,0,0,1,0,438
2023-7-5-0-0-25-319,285,8900,2241,23,35,0,1,0,0,0,0,0,0,1,0,447
2023-7-5-0-0-25-339,273,8900,2243,23,35,0,1,0,0,0,0,0,0,1,0,456
2023-7-5-0-0-25-359,259,8900,2234,23,35,0,1,0,0,0,0,0,0,1,0,466
2023-7-5-0-0-25-379,259,8800,2226,23,35,0,1,0,0,0,0,0,0,1,0,475
2023-7-5-0-0-25-399,256,8800,2220,23,35,0,1,0,0,0,0,0,0,1,0,484
2023-7-5-0-0-25-419,244,8800,2214,23,35,0,1,0,0,0,0,0,0,1,0,494
2023-7-5-0-0-25-439,220,8700,2207,23,35,0,1,0,0,0,0,0,0,1,0,503
2023-7-5-0-0-25-459,212,8600,2179,23,35,0,1,0,0,0,0,0,0,1,0,512
2023-7-5-0-0-25-479,200,8500,2165,23,35,0,1,0,0,0,0,0,0,1,0,521
2023-7-5-0-0-25-499,173,8400,2160,23,35,0,1,0,0,0,0,0,0,1,0,530
2023-7-5-0-0-25-519,153,8200,2118,23,35,0,1,0,0,0,0,0,0,1,0,539
2023-7-5-0-0-25-539,135,8100,2099,23,35,0,1,0,0,0,0,0,0,1,0,548
2023-7-5-0-0-25-559,103,8000,2094,23,35,0,1,0,0,0,0,0,0,1,0,557
2023-7-5-0-0-25-579,79,7900,2067,23,35,0,1,0,0,0,0,0,0,1,0,565
2023-7-5-0-0-25-599,50,7700,2039,23,35,0,1,0,0,0,0,0,0,1,0,574
2023-7-5-0-0-25-619,44,6300,1852,23,35,0,1,0,0,0,0,0,0,1,0,582
2023-7-5-0-0-25-639,38,5700,1763,23,35,0,1,0,0,0,0,0,0,1,0,590
2023-7-5-0-0-25-659,44,4700,1649,23,35,0,1,0,0,0,0,0,0,1,0,598
2023-7-5-0-0-25-679,53,3400,1488,23,35,0,1,0,0,0,0,0,0,1,0,605
2023-7-5-0-0-25-699,59,2400,1315,23,35,0,1,0,0,0,0,0,0,1,0,611
2023-7-5-0-0-25-719,62,1700,1208,23,35,0,1,0,0,0,0,0,0,1,0,617
2023-7-5-0-0-25-739,56,1400,1057,23,35,0,1,0,0,0,0,0,0,1,0,622
2023-7-5-0-0-25-759,47,1100,896,23,35,0,1,0,0,0,0,0,0,1,0,626
2023-7-5-0-0-25-779,38,1000,770,23,35,0,1,0,0,0,0,0,0,1,0,630
2023-7-5-0-0-25-799,24,1200,674,23,35,0,1,0,0,0,0,0,0,1,0,633
2023-7-5-0-0-25-819,12,1300,572,23,35,0,1,0,0,0,0,0,0,1,0,636
2023-7-5-0-0-25-839,6,1300,470,23,35,0,1,0,0,0,0,0,0,1,0,640
2023-7-5-0-0-25-859,197,1900,427,23,35,0,1,0,0,0,0,0,0,1,0,641
2023-7-5-0-0-25-879,373,2600,513,23,35,0,1,0,0,0,0,0,0,1,0,643
2023-7-5-0-0-25-899,532,2800,468,23,35,0,1,0,0,0,0,0,0,1,0,645
